Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,181.97000122070312,182.39999389648438,180.9600067138672,182.3300018310547,182.3300018310547,14331400.0
2021-01-05,182.8699951171875,183.2100067138672,181.82000732421875,182.8699951171875,182.8699951171875,12718800.0
2021-01-06,181.49000549316406,181.5800018310547,178.24000549316406,179.89999389648438,179.89999389648438,18453500.0
2021-01-07,179.69000244140625,179.9199981689453,178.83999633789062,179.47999572753906,179.47999572753906,7110200.0
2021-01-08,176.8300018310547,176.99000549316406,171.47999572753906,173.33999633789062,173.33999633789062,24399900.0
2021-01-11,172.13999938964844,173.67999267578125,172.02999877929688,173.0,173.0,8571400.0
2021-01-12,173.1300048828125,174.17999267578125,172.32000732421875,174.1199951171875,174.1199951171875,9798500.0
2021-01-13,173.67999267578125,174.4600067138672,173.0500030517578,173.3699951171875,173.3699951171875,14110300.0
2021-01-14,173.44000244140625,174.22000122070312,172.66000366210938,173.27999877929688,173.27999877929688,13522700.0
2021-01-15,172.83999633789062,173.07000732421875,170.97999572753906,171.1300048828125,171.1300048828125,16172500.0
2021-01-19,172.7100067138672,172.85000610351562,171.9199981689453,172.5800018310547,172.5800018310547,7485700.0
2021-01-20,174.3699951171875,175.47000122070312,173.82000732421875,175.38999938964844,175.38999938964844,9456000.0
2021-01-21,175.11000061035156,175.50999450683594,174.50999450683594,175.27999877929688,175.27999877929688,7246800.0
2021-01-22,172.88999938964844,174.2899932861328,172.35000610351562,173.89999389648438,173.89999389648438,7269600.0
2021-01-25,174.82000732421875,174.9600067138672,173.19000244140625,174.0500030517578,174.0500030517578,5936800.0
2021-01-26,173.97999572753906,174.25999450683594,173.4199981689453,173.6199951171875,173.6199951171875,4685600.0
2021-01-27,172.92999267578125,173.52000427246094,171.66000366210938,172.52000427246094,172.52000427246094,9036500.0
2021-01-28,174.27999877929688,174.72999572753906,172.0399932861328,172.67999267578125,172.67999267578125,9392400.0
2021-01-29,174.8699951171875,175.16000366210938,172.61000061035156,172.61000061035156,172.61000061035156,11252800.0
2021-02-01,175.02000427246094,175.25999450683594,174.05999755859375,174.22999572753906,174.22999572753906,9105500.0
2021-02-02,172.49000549316406,172.52999877929688,171.50999450683594,172.11000061035156,172.11000061035156,7221700.0
2021-02-03,172.36000061035156,172.58999633789062,171.5,171.85000610351562,171.85000610351562,4658100.0
2021-02-04,168.2899932861328,168.39999389648438,167.33999633789062,168.14999389648438,168.14999389648438,13736600.0
2021-02-05,168.99000549316406,170.17999267578125,168.6699981689453,169.80999755859375,169.80999755859375,6538500.0
2021-02-08,171.97999572753906,172.39999389648438,171.49000549316406,171.52000427246094,171.52000427246094,6887500.0
2021-02-09,172.57000732421875,173.02999877929688,171.75,172.0800018310547,172.0800018310547,5131800.0
2021-02-10,173.14999389648438,173.22000122070312,172.00999450683594,172.7100067138672,172.7100067138672,6112800.0
2021-02-11,172.6999969482422,172.8699951171875,170.7100067138672,171.2100067138672,171.2100067138672,5994500.0
2021-02-12,170.2899932861328,171.64999389648438,169.8800048828125,170.69000244140625,170.69000244140625,6018900.0
2021-02-16,168.13999938964844,170.07000732421875,167.72999572753906,168.24000549316406,168.24000549316406,14761100.0
2021-02-17,166.9199981689453,167.33999633789062,165.85000610351562,166.3300018310547,166.3300018310547,11400700.0
2021-02-18,166.97999572753906,167.3000030517578,165.72999572753906,166.32000732421875,166.32000732421875,7498200.0
2021-02-19,166.75999450683594,167.94000244140625,166.60000610351562,167.00999450683594,167.00999450683594,8273500.0
2021-02-22,168.5399932861328,169.88999938964844,168.3000030517578,169.50999450683594,169.50999450683594,10072000.0
2021-02-23,169.47999572753906,169.74000549316406,168.27999877929688,169.1199951171875,169.1199951171875,8616800.0
2021-02-24,167.64999389648438,169.13999938964844,167.14999389648438,169.0,169.0,8890600.0
2021-02-25,166.9199981689453,167.66000366210938,165.4499969482422,165.82000732421875,165.82000732421875,16359400.0
2021-02-26,165.0,165.10000610351562,160.9499969482422,161.80999755859375,161.80999755859375,23730400.0
2021-03-01,163.02999877929688,163.35000610351562,161.16000366210938,161.52999877929688,161.52999877929688,13828300.0
2021-03-02,161.92999267578125,162.92999267578125,161.22000122070312,162.41000366210938,162.41000366210938,11424600.0
2021-03-03,160.61000061035156,161.69000244140625,159.49000549316406,160.6199951171875,160.6199951171875,13059900.0
2021-03-04,160.60000610351562,161.4600067138672,158.42999267578125,159.0399932861328,159.0399932861328,13870100.0
2021-03-05,159.66000366210938,159.82000732421875,158.5500030517578,159.13999938964844,159.13999938964844,12821600.0
2021-03-08,158.5800018310547,158.74000549316406,157.1300048828125,157.49000549316406,157.49000549316406,12134900.0
2021-03-09,160.75,161.25,160.4199981689453,160.83999633789062,160.83999633789062,10382600.0
2021-03-10,161.05999755859375,161.77999877929688,160.66000366210938,161.66000366210938,161.66000366210938,7962000.0
2021-03-11,161.47000122070312,161.97999572753906,161.1199951171875,161.52000427246094,161.52000427246094,6749200.0
2021-03-12,159.5399932861328,161.69000244140625,159.35000610351562,161.49000549316406,161.49000549316406,8608500.0
2021-03-15,162.30999755859375,162.5500030517578,161.42999267578125,162.1999969482422,162.1999969482422,8104500.0
2021-03-16,162.36000061035156,163.1999969482422,161.80999755859375,162.35000610351562,162.35000610351562,7547400.0
2021-03-17,162.27000427246094,164.14999389648438,161.47999572753906,163.50999450683594,163.50999450683594,12626700.0
2021-03-18,161.14999389648438,162.82000732421875,161.11000061035156,162.55999755859375,162.55999755859375,8711100.0
2021-03-19,162.55999755859375,163.42999267578125,162.42999267578125,163.24000549316406,163.24000549316406,6868900.0
2021-03-22,162.27000427246094,163.1300048828125,162.16000366210938,163.0,163.0,5240000.0
2021-03-23,162.4499969482422,162.49000549316406,161.58999633789062,161.80999755859375,161.80999755859375,6048300.0
2021-03-24,162.2100067138672,162.88999938964844,161.94000244140625,162.3699951171875,162.3699951171875,6183700.0
2021-03-25,163.05999755859375,163.5800018310547,161.32000732421875,161.77999877929688,161.77999877929688,8398600.0
2021-03-26,161.7100067138672,162.72999572753906,161.64999389648438,162.24000549316406,162.24000549316406,6153900.0
2021-03-29,161.4600067138672,161.52000427246094,159.8300018310547,160.30999755859375,160.30999755859375,8409300.0
2021-03-30,157.94000244140625,158.1999969482422,157.5500030517578,157.57000732421875,157.57000732421875,8353200.0
2021-03-31,158.05999755859375,160.67999267578125,158.0500030517578,159.9600067138672,159.9600067138672,10623800.0
